inventory_id,merchant_id,ingredient_name,stock_quantity,unit,cost_per_unit,last_updated
1,M001,Milk,46,liter,55,2025-10-09 06:00:00
2,M001,Paneer,16,kg,260,2025-10-09 06:00:00
3,M001,Tomato,27,kg,45,2025-10-09 06:00:00
4,M001,Chicken,9,kg,220,2025-10-09 06:00:00
5,M001,Onion,3,kg,30,2025-10-09 06:00:00
6,M001,Rice,2,kg,89,2025-10-09 06:00:00
7,M002,Milk,59,liter,55,2025-10-09 06:00:00
8,M002,Cheese,8,kg,350,2025-10-09 06:00:00
9,M002,Tomato,58,kg,45,2025-10-09 06:00:00
10,M002,Oil,36,liter,115,2025-10-09 06:00:00
11,M002,Onion,2,kg,30,2025-10-09 06:00:00
12,M003,Flour,50,kg,35,2025-10-09 06:00:00
13,M003,Onion,48,kg,30,2025-10-09 06:00:00
14,M003,Paneer,28,kg,260,2025-10-09 06:00:00
15,M003,Rice,103,kg,89,2025-10-09 06:00:00
16,M003,Chicken,4,kg,220,2025-10-09 06:00:00
17,M003,Cheese,6,kg,350,2025-10-09 06:00:00
18,M003,Tomato,54,kg,45,2025-10-09 06:00:00
19,M004,Onion,7,kg,30,2025-10-09 06:00:00
20,M004,Milk,48,liter,55,2025-10-09 06:00:00
21,M004,Oil,37,liter,115,2025-10-09 06:00:00
22,M004,Paneer,37,kg,260,2025-10-09 06:00:00
23,M004,Chicken,77,kg,220,2025-10-09 06:00:00
24,M004,Rice,150,kg,89,2025-10-09 06:00:00
25,M004,Cheese,10,kg,350,2025-10-09 06:00:00
26,M004,Flour,4,kg,35,2025-10-09 06:00:00
27,M004,Tomato,17,kg,45,2025-10-09 06:00:00
28,M005,Oil,30,liter,115,2025-10-09 06:00:00
29,M005,Tomato,52,kg,45,2025-10-09 06:00:00
30,M005,Paneer,34,kg,260,2025-10-09 06:00:00
31,M005,Cheese,17,kg,350,2025-10-09 06:00:00
32,M005,Chicken,60,kg,220,2025-10-09 06:00:00
33,M006,Cheese,14,kg,350,2025-10-09 06:00:00
34,M006,Paneer,37,kg,260,2025-10-09 06:00:00
35,M006,Rice,116,kg,89,2025-10-09 06:00:00
36,M006,Flour,30,kg,35,2025-10-09 06:00:00
37,M006,Onion,31,kg,30,2025-10-09 06:00:00
38,M006,Oil,30,liter,115,2025-10-09 06:00:00
39,M007,Milk,33,liter,55,2025-10-09 06:00:00
40,M007,Oil,3,liter,115,2025-10-09 06:00:00
41,M007,Flour,78,kg,35,2025-10-09 06:00:00
42,M007,Rice,172,kg,89,2025-10-09 06:00:00
43,M007,Onion,24,kg,30,2025-10-09 06:00:00
44,M008,Flour,95,kg,35,2025-10-09 06:00:00
45,M008,Chicken,65,kg,220,2025-10-09 06:00:00
46,M008,Rice,87,kg,89,2025-10-09 06:00:00
47,M008,Oil,20,liter,115,2025-10-09 06:00:00
48,M008,Tomato,20,kg,45,2025-10-09 06:00:00
49,M008,Milk,43,liter,55,2025-10-09 06:00:00
50,M008,Paneer,29,kg,260,2025-10-09 06:00:00
51,M009,Cheese,20,kg,350,2025-10-09 06:00:00
52,M009,Paneer,20,kg,260,2025-10-09 06:00:00
53,M009,Tomato,31,kg,45,2025-10-09 06:00:00
54,M009,Rice,163,kg,89,2025-10-09 06:00:00
55,M009,Oil,5,liter,115,2025-10-09 06:00:00
56,M009,Chicken,27,kg,220,2025-10-09 06:00:00
57,M010,Flour,42,kg,35,2025-10-09 06:00:00
58,M010,Tomato,59,kg,45,2025-10-09 06:00:00
59,M010,Chicken,5,kg,220,2025-10-09 06:00:00
60,M010,Oil,2,liter,115,2025-10-09 06:00:00
61,M010,Onion,53,kg,30,2025-10-09 06:00:00
62,M010,Cheese,11,kg,350,2025-10-09 06:00:00
63,M010,Milk,3,liter,55,2025-10-09 06:00:00
64,M010,Rice,129,kg,89,2025-10-09 06:00:00
65,M010,Paneer,40,kg,260,2025-10-09 06:00:00
66,M011,Milk,4,liter,55,2025-10-09 06:00:00
67,M011,Flour,88,kg,35,2025-10-09 06:00:00
68,M011,Onion,7,kg,30,2025-10-09 06:00:00
69,M011,Chicken,30,kg,220,2025-10-09 06:00:00
70,M011,Tomato,57,kg,45,2025-10-09 06:00:00
71,M012,Chicken,6,kg,220,2025-10-09 06:00:00
72,M012,Flour,87,kg,35,2025-10-09 06:00:00
73,M012,Rice,50,kg,89,2025-10-09 06:00:00
74,M012,Tomato,32,kg,45,2025-10-09 06:00:00
75,M012,Oil,40,liter,115,2025-10-09 06:00:00
76,M012,Paneer,33,kg,260,2025-10-09 06:00:00
77,M013,Chicken,75,kg,220,2025-10-09 06:00:00
78,M013,Tomato,33,kg,45,2025-10-09 06:00:00
79,M013,Cheese,20,kg,350,2025-10-09 06:00:00
80,M013,Flour,55,kg,35,2025-10-09 06:00:00
81,M013,Paneer,32,kg,260,2025-10-09 06:00:00
82,M013,Rice,182,kg,89,2025-10-09 06:00:00
83,M013,Onion,54,kg,30,2025-10-09 06:00:00
84,M013,Oil,19,liter,115,2025-10-09 06:00:00
85,M013,Milk,60,liter,55,2025-10-09 06:00:00
86,M014,Rice,120,kg,89,2025-10-09 06:00:00
87,M014,Tomato,43,kg,45,2025-10-09 06:00:00
88,M014,Oil,28,liter,115,2025-10-09 06:00:00
89,M014,Onion,38,kg,30,2025-10-09 06:00:00
90,M014,Cheese,28,kg,350,2025-10-09 06:00:00
91,M014,Paneer,15,kg,260,2025-10-09 06:00:00
92,M014,Milk,3,liter,55,2025-10-09 06:00:00
93,M015,Flour,75,kg,35,2025-10-09 06:00:00
94,M015,Paneer,30,kg,260,2025-10-09 06:00:00
95,M015,Milk,7,liter,55,2025-10-09 06:00:00
96,M015,Oil,32,liter,115,2025-10-09 06:00:00
97,M015,Rice,94,kg,89,2025-10-09 06:00:00
98,M015,Tomato,27,kg,45,2025-10-09 06:00:00
99,M015,Onion,46,kg,30,2025-10-09 06:00:00
100,M015,Cheese,16,kg,350,2025-10-09 06:00:00
101,M016,Chicken,62,kg,220,2025-10-09 06:00:00
102,M016,Oil,36,liter,115,2025-10-09 06:00:00
103,M016,Milk,7,liter,55,2025-10-09 06:00:00
104,M016,Cheese,10,kg,350,2025-10-09 06:00:00
105,M016,Flour,2,kg,35,2025-10-09 06:00:00
106,M016,Rice,102,kg,89,2025-10-09 06:00:00
