order_item_id,order_id,item_id,quantity,selling_price,food_cost,profit
1,100001,I0849,1,346,116,230
2,100001,I0572,1,271,128,143
3,100002,I0002,2,194,66,128
4,100002,I0523,2,95,21,74
5,100003,I0979,3,270,114,156
6,100003,I0135,3,172,57,115
7,100004,I0520,3,566,215,351
8,100004,I0894,3,109,22,87
9,100005,I0090,3,330,102,228
10,100005,I0026,3,201,70,131
11,100005,I0230,1,320,97,223
12,100006,I0774,1,352,114,238
13,100006,I0766,1,236,79,157
14,100006,I0695,1,81,24,57
15,100007,I0801,3,271,113,158
16,100007,I0457,3,100,23,77
17,100007,I0580,2,76,20,56
18,100007,I0143,1,291,101,190
19,100008,I0915,1,580,239,341
20,100008,I0533,1,44,10,34
21,100009,I0498,3,114,33,81
22,100009,I0704,1,171,47,124
23,100010,I0780,1,293,133,160
24,100010,I0231,1,130,41,89
25,100010,I0043,2,50,11,39
26,100011,I0010,1,90,15,75
27,100011,I0608,1,204,93,111
28,100012,I0920,2,546,214,332
29,100012,I0945,2,100,15,85
30,100013,I0152,3,329,95,234
31,100013,I0954,3,212,74,138
32,100013,I0303,1,84,20,64
33,100014,I0917,3,239,64,175
34,100014,I0681,1,106,21,85
35,100015,I0313,3,107,24,83
36,100015,I0517,3,50,9,41
37,100016,I0459,3,151,31,120
38,100016,I0794,2,178,51,127
39,100017,I0426,2,138,38,100
40,100018,I0262,3,334,104,230
41,100018,I0895,1,141,36,105
42,100019,I0443,2,412,143,269
43,100019,I0588,2,219,76,143
44,100020,I0722,1,79,18,61
45,100020,I0248,1,148,36,112
46,100021,I0552,3,214,54,160
47,100021,I0168,1,148,49,99
48,100022,I0559,1,254,72,182
49,100022,I0648,1,140,38,102
50,100022,I0127,1,55,11,44
51,100023,I0753,1,78,22,56
52,100023,I0665,1,105,21,84
53,100024,I0727,3,378,144,234
54,100025,I0066,3,200,94,106
55,100025,I0644,3,64,17,47
56,100025,I0594,2,120,35,85
57,100026,I0980,2,256,106,150
58,100026,I0654,2,60,17,43
59,100026,I0532,2,71,14,57
60,100027,I0014,1,115,28,87
61,100027,I0334,1,80,26,54
62,100027,I0387,1,383,101,282
63,100027,I0076,2,305,114,191
64,100028,I0668,3,132,28,104
65,100028,I0349,3,125,25,100
66,100029,I0543,2,359,145,214
67,100029,I0665,2,105,21,84
68,100030,I0842,2,388,127,261
69,100030,I0397,2,143,43,100
70,100031,I0028,1,245,70,175
71,100031,I0370,1,212,64,148
72,100032,I0556,3,174,59,115
73,100032,I0364,1,548,243,305
74,100032,I0144,1,397,128,269
75,100033,I0116,1,239,78,161
76,100034,I0183,1,99,18,81
77,100034,I0838,2,154,74,80
78,100035,I0895,3,141,36,105
79,100035,I0742,1,106,27,79
80,100035,I0326,2,325,105,220
81,100035,I0597,1,285,78,207
82,100036,I0911,2,228,84,144
83,100036,I0413,2,289,132,157
84,100037,I0230,2,320,97,223
85,100038,I0849,3,346,116,230
86,100038,I0502,1,276,78,198
87,100038,I0312,2,282,140,142
88,100039,I0320,1,377,97,280
89,100039,I0444,1,113,44,69
90,100040,I0759,2,73,16,57
91,100040,I0127,2,55,11,44
92,100040,I0760,2,259,65,194
93,100041,I0274,3,154,51,103
94,100041,I0830,2,375,93,282
95,100041,I0955,1,433,135,298
96,100041,I0350,1,311,78,233
97,100042,I0497,3,44,7,37
98,100042,I0516,1,85,17,68
99,100042,I0440,2,549,246,303
100,100043,I0437,3,284,79,205
101,100043,I0042,1,455,171,284
102,100043,I0946,1,179,49,130
103,100044,I0140,3,390,153,237
104,100044,I0136,2,315,95,220
105,100045,I0979,2,270,114,156
106,100045,I0255,1,171,44,127
107,100046,I0746,2,462,161,301
108,100046,I0906,2,577,208,369
109,100047,I0884,3,335,102,233
110,100047,I0942,1,396,104,292
111,100047,I0549,2,57,15,42
112,100048,I0688,3,227,76,151
113,100048,I0986,2,596,232,364
114,100049,I0621,2,117,40,77
115,100050,I0226,2,200,62,138
116,100051,I0341,1,347,151,196
117,100051,I0628,1,121,27,94
118,100052,I0828,2,350,127,223
119,100052,I0705,2,150,24,126
120,100053,I0287,3,393,140,253
121,100053,I0191,1,170,50,120
122,100054,I0618,3,145,30,115
123,100054,I0832,3,43,6,37
124,100055,I0958,1,313,94,219
125,100055,I0980,2,256,106,150
126,100055,I0397,2,143,43,100
127,100056,I0564,1,201,69,132
128,100056,I0603,2,362,160,202
129,100056,I0392,2,260,118,142
130,100057,I0233,1,515,212,303
131,100057,I0691,1,143,27,116
132,100057,I0435,2,257,71,186
133,100058,I0847,2,158,37,121
134,100058,I0072,2,75,12,63
135,100059,I0947,3,243,67,176
136,100060,I0831,3,552,224,328
137,100060,I0988,3,39,8,31
138,100061,I0309,2,316,114,202
139,100061,I0013,1,265,72,193
140,100061,I0196,2,319,105,214
141,100062,I0183,1,99,18,81
142,100062,I0558,2,245,63,182
143,100062,I0874,2,240,100,140
144,100063,I0185,2,285,111,174
145,100063,I0251,2,443,147,296
146,100063,I0366,2,174,47,127
147,100064,I0666,1,248,74,174
148,100064,I0306,2,387,106,281
149,100065,I0264,1,61,19,42
150,100065,I0876,1,224,76,148
151,100066,I0133,3,137,34,103
152,100066,I0778,3,101,16,85
153,100066,I0294,2,141,29,112
154,100067,I0359,2,50,13,37
155,100067,I0329,2,193,55,138
156,100068,I0777,3,381,140,241
157,100068,I0596,1,224,77,147
158,100069,I0668,3,132,28,104
159,100069,I0005,3,82,14,68
160,100069,I0782,1,197,41,156
161,100070,I0371,2,333,149,184
162,100070,I0841,2,75,17,58
163,100071,I0543,3,359,145,214
164,100071,I0602,3,135,31,104
165,100072,I0691,2,143,27,116
166,100072,I0722,1,79,18,61
167,100072,I0435,1,257,71,186
168,100073,I0123,3,145,49,96
169,100074,I0813,1,66,18,48
170,100074,I0698,1,48,7,41
171,100074,I0146,2,135,28,107
172,100075,I0390,1,425,138,287
173,100075,I0212,2,297,85,212
174,100075,I0125,1,332,107,225
175,100076,I0579,2,281,91,190
176,100076,I0936,2,370,123,247
177,100076,I0516,2,85,17,68
178,100077,I0157,1,142,57,85
179,100077,I0145,1,132,43,89
180,100077,I0884,1,335,102,233
181,100078,I0468,2,111,33,78
182,100078,I0262,2,334,104,230
183,100078,I0742,1,106,27,79
184,100078,I0597,1,285,78,207
185,100079,I0210,2,72,20,52
186,100079,I0029,2,271,78,193
187,100080,I0267,1,125,23,102
188,100080,I0692,1,75,12,63
189,100081,I0498,1,114,33,81
190,100081,I0842,1,388,127,261
191,100081,I0654,1,60,17,43
192,100082,I0455,1,276,106,170
193,100082,I0550,1,85,13,72
194,100083,I0025,3,76,16,60
195,100083,I0705,3,150,24,126
196,100084,I0039,3,131,38,93
197,100084,I0664,3,30,6,24
198,100084,I0937,1,123,25,98
199,100085,I0690,3,67,15,52
200,100085,I0933,1,148,49,99
201,100085,I0236,2,156,42,114
